,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
0,BM1L1C1F1,BU,33,60,57.0,95.0%,180,33.0,171.0,9.0,"('P64', 'P64', 'P66')",45.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,0
1,BM1L1C1F1,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,52.0,0.0,0.0,0.0,0
2,BM1L1C1F1,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
3,BM1L1C1F10,BU,33,30,29.0,96.7%,90,33.0,87.0,3.0,"('P66',)",45.0,0.0,0.0,0.0,0,45.0,33.0,42.0,3.0,"('P66',)"
4,BM1L1C1F10,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
5,BM1L1C1F10,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
6,BM1L1C1F11,BU,33,45,0.0,0.0%,90,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
7,BM1L1C1F11,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
8,BM1L1C1F11,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
9,BM1L1C1F12,BU,33,30,29.0,96.7%,60,22.0,58.0,2.0,"('P66',)",30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
10,BM1L1C1F12,LR,16,39,0.0,0.0%,117,0.0,0.0,0.0,0,156.0,0.0,0.0,0.0,0,117.0,36.0,114.0,3.0,"('FAI0780',)"
11,BM1L1C1F12,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
12,BM1L1C1F13,BU,33,30,29.0,96.7%,90,33.0,87.0,3.0,"('P66',)",57.0,0.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0
13,BM1L1C1F13,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
14,BM1L1C1F13,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
15,BM1L1C1F14,BU,33,30,0.0,0.0%,60,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
16,BM1L1C1F14,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
17,BM1L1C1F14,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
18,BM1L1C1F15,BU,33,30,0.0,0.0%,90,0.0,0.0,0.0,0,57.0,0.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0
19,BM1L1C1F15,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,52.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
20,BM1L1C1F15,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
21,BM1L1C1F16,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,38.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
22,BM1L1C1F16,LR,16,13,0.0,0.0%,26,0.0,0.0,0.0,0,104.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
23,BM1L1C1F16,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
24,BM1L1C1F17,BU,33,45,0.0,0.0%,135,0.0,0.0,0.0,0,57.0,36.0,51.0,6.0,"('P63_3', 'P63_4')",90.0,0.0,0.0,0.0,0
25,BM1L1C1F17,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,52.0,0.0,0.0,0.0,0
26,BM1L1C1F17,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
27,BM1L1C1F18,BU,33,15,13.0,86.7%,30,22.0,26.0,4.0,"('P64', 'P66')",30.0,22.0,28.0,2.0,"('P66',)",30.0,22.0,28.0,2.0,"('P66',)"
28,BM1L1C1F18,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
29,BM1L1C1F18,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
30,BM1L1C1F19,BU,33,30,0.0,0.0%,90,0.0,0.0,0.0,0,57.0,0.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0
31,BM1L1C1F19,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
32,BM1L1C1F19,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
33,BM1L1C1F2,BU,33,30,0.0,0.0%,90,0.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0,90.0,33.0,87.0,3.0,"('P66',)"
34,BM1L1C1F2,LR,16,39,0.0,0.0%,117,0.0,0.0,0.0,0,39.0,0.0,0.0,0.0,0,78.0,0.0,0.0,0.0,0
35,BM1L1C1F2,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
36,BM1L1C1F20,BU,33,30,0.0,0.0%,60,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
37,BM1L1C1F20,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
