,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%_y,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
0,BM1L1C1F1,BU,33,105,102.0,97.1%,105.0,11.0,102.0,3.0,"('P64', 'P64', 'P66')",105.0,11.0,102.0,3.0,0,105.0,11.0,102.0,3.0,0
3,BM1L1C1F1,LR,16,65,65.0,100.0%,65.0,12.0,65.0,0.0,0,65.0,12.0,65.0,0.0,0,65.0,12.0,65.0,0.0,0
6,BM1L1C1F1,RR,7,35,0.0,0.0%,35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",35.0,4.0,0.0,35.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
9,BM1L1C1F10,BU,33,60,58.0,96.7%,60.0,11.0,58.0,2.0,"('P66',)",60.0,11.0,58.0,2.0,0,60.0,11.0,58.0,2.0,"('P66',)"
12,BM1L1C1F10,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
15,BM1L1C1F10,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
18,BM1L1C1F11,BU,33,75,75.0,100.0%,75.0,11.0,75.0,0.0,0,75.0,11.0,75.0,0.0,0,75.0,11.0,75.0,0.0,0
21,BM1L1C1F11,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
24,BM1L1C1F11,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
27,BM1L1C1F12,BU,33,60,59.0,98.3%,60.0,11.0,59.0,1.0,"('P66',)",60.0,11.0,59.0,1.0,0,60.0,11.0,59.0,1.0,0
