,K55 CNC,Machine_Type,Total_Dim,Shift1_Sample_Taken,Shift1_OK_Count,Shift1_NG_Count,Shift1_Yield%,Shift1_NG_List,Shift2_Sample_Taken,Shift2_OK_Count,Shift2_NG_Count,Shift2_Yield%,Shift2_NG_List,Shift3_Sample_Taken,Shift3_OK_Count,Shift3_NG_Count,Shift3_Yield%,Shift3_NG_List
0,BM1L1C1F1,BU,33,60.0,57.0,3.0,95.0%,"('P64', 'P64', 'P66')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
1,BM1L1C1F1,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2,BM1L1C1F1,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
3,BM1L1C1F10,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
4,BM1L1C1F10,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
5,BM1L1C1F10,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
6,BM1L1C1F11,BU,33,45.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
7,BM1L1C1F11,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
8,BM1L1C1F11,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
9,BM1L1C1F12,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
10,BM1L1C1F12,LR,16,39.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
11,BM1L1C1F12,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
12,BM1L1C1F13,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
13,BM1L1C1F13,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
14,BM1L1C1F13,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
15,BM1L1C1F14,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
16,BM1L1C1F14,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
17,BM1L1C1F14,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
18,BM1L1C1F15,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
19,BM1L1C1F15,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
